staSeq,locationName,Sample_Year,YearGrp,SumOfABUNDANCE,LAB_ID,CTDEEP LabID,Rep,Habitat,Device,Subsample Rep,LAB_NAME,TAXON_NAME,LIFE STAGE,ABUNDANCE,Sample_Date,TaxonNameCurrent,WQXTaxonName,VisitNum,BCG_Attribute,CTTempOptimaAvg,RegionalTempOptimaClass,RelAbund
14598,Quinebaug River,2009,4,437,15585,09-B-008,1,Riffle,KN2M2,First,,Paragnetina,L,1,19-Sep-09,Paragnetina,,,3,,,0.00228833
14598,Quinebaug River,2009,4,437,15585,09-B-008,1,Riffle,KN2M2,First,,Ancylidae,A,1,19-Sep-09,Ancylidae,,,4,,,0.00228833
14598,Quinebaug River,2009,4,437,15585,09-B-008,1,Riffle,KN2M2,First,,Tvetenia vitracies group,L,1,19-Sep-09,Tvetenia vitracies group,,,4,7,Warm,0.00228833
14598,Quinebaug River,2009,4,437,15585,09-B-008,1,Riffle,KN2M2,First,,Philopotamidae,P,1,19-Sep-09,Philopotamidae,,,,,,0.00228833
14598,Quinebaug River,2009,4,437,15585,09-B-008,1,Riffle,KN2M2,First,,Orthocladius Complex,L,1,19-Sep-09,Orthocladius Complex,,,4,4.666666667,Cool,0.00228833
14598,Quinebaug River,2009,4,437,15585,09-B-008,1,Riffle,KN2M2,First,,Maccaffertium modestum group,L,1,19-Sep-09,Maccaffertium modestum group,,,4,5.333333333,Cool,0.00228833
14598,Quinebaug River,2009,4,437,15585,09-B-008,1,Riffle,KN2M2,First,,Lumbriculidae,A,1,19-Sep-09,Lumbriculidae,,,4,5.333333333,Cool,0.00228833
14598,Quinebaug River,2009,4,437,15585,09-B-008,1,Riffle,KN2M2,First,,Lepidostoma,L,1,19-Sep-09,Lepidostoma,,,2,3.333333333,Cold,0.00228833
14598,Quinebaug River,2009,4,437,15585,09-B-008,1,Riffle,KN2M2,First,,Hydropsyche,L,1,19-Sep-09,Ceratopsyche,,,5,,,0.00228833
14598,Quinebaug River,2009,4,437,15585,09-B-008,1,Riffle,KN2M2,First,,Ceratopsyche sparna,L,1,19-Sep-09,Ceratopsyche sparna,,,5,4.666666667,Cool,0.00228833
14598,Quinebaug River,2009,4,437,15585,09-B-008,1,Riffle,KN2M2,First,,Ceratopsyche bronta,L,1,19-Sep-09,Ceratopsyche bronta,,,5,6,Warm,0.00228833
14598,Quinebaug River,2009,4,437,15585,09-B-008,1,Riffle,KN2M2,First,,Ceratopsyche bifida group,L,1,19-Sep-09,Ceratopsyche morosa,,,5,5,Cool,0.00228833
14598,Quinebaug River,2009,4,437,15585,09-B-008,1,Riffle,KN2M2,First,,Rheotanytarsus exiguus group,L,1,19-Sep-09,Rheotanytarsus exiguus group,,,4,6,Warm,0.00228833
14469,Tankerhoosen River,2008,4,395,13986,08-B-113,1,Riffle,KN2M2,First,,Psychomyia flavida,L,1,06-Oct-08,Psychomyia flavida,,,4,4.666666667,Warm,0.002531646
14469,Tankerhoosen River,2008,4,395,13986,08-B-113,1,Riffle,KN2M2,First,,Potthastia longimana group,L,1,06-Oct-08,Potthastia longimana group,,,4,,,0.002531646
14469,Tankerhoosen River,2008,4,395,13986,08-B-113,1,Riffle,KN2M2,First,,Stenelmis,A,1,06-Oct-08,Stenelmis,,,4,5.666666667,Warm,0.002531646
